First_Name Middle_Name,Family_Name,Institution,Category
Daniel F,Gudbjartsson,1,Molecular Biology & Genetics
Augustine,Kong,1,Molecular Biology & Genetics
Leena,Peltonen,1,Molecular Biology & Genetics
Kari,Stefansson,1,Molecular Biology & Genetics
Valgerdur,Steinthorsdottir,1,Molecular Biology & Genetics
Gudmar,Thorleifsson,1,Molecular Biology & Genetics
Cees,Dekker,1,Physics
Leo P,Kouwenhoven,1,Physics
Shin-ichi,Uchida,1,Physics
H-Erich,Wichmann,1,Molecular Biology & Genetics
Jonathan A,Eisen,1,Biology & Biochemistry
Kwangsik Duck,Park,1,Pharmacology & Toxicology
Ji-Huan,He,1,Mathematics
Bo,Shen,1,Engineering
Boxin,Ou,1,Agricultural Sciences
Ulrich S,Schubert,1,Materials Science
Matthias,Schwab,1,Pharmacology & Toxicology
Michel,Eichelbaum,1,Pharmacology & Toxicology
Ulrich M,Zanger,1,Pharmacology & Toxicology
Gordon T,Richards,1,Space Science
Peter F,DeCarlo,1,Geosciences
Yury,Gogotsi,1,Materials Science
Ana VDiez,Roux,1,"Social Sciences, general"
Eric D,Peterson,1,Clinical Medicine
Eric A,Finkelstein,1,"Social Sciences, general"
Michael J,Pencina,1,"Social Sciences, general"
Richard SE,Keefe,1,Psychiatry/Psychology
Robert J,Lefkowitz,1,Biology & Biochemistry
Avshalom,Caspi,1,Psychiatry/Psychology
Terrie E,Moffitt,1,Psychiatry/Psychology
Tim,Bollerslev,1,Economics & Business
John,Graham,1,Economics & Business
Campbell,Harvey,1,Economics & Business
Dan,Ariely,1,Economics & Business
Philip N,Benfey,1,Plant & Animal Science
James O,Berger,1,Mathematics
Kelly D,Brownell,1,"Social Sciences, general"
Robert M,Califf,1,Clinical Medicine
Ingrid,Daubechies,1,Mathematics
Xinnian,Dong,1,Plant & Animal Science
Christopher B,Granger,1,Clinical Medicine
Honalee,Harrington,1,Psychiatry/Psychology
Barton F,Haynes,1,Immunology
Barton F,Haynes,1,Microbiology
Robert J,Lefkowitz,1,Pharmacology & Toxicology
Joseph P,McEvoy,1,Psychiatry/Psychology
David C,Montefiori,1,Microbiology
L Kristin,Newby,1,Clinical Medicine
Christopher M,O'Connor,1,Clinical Medicine
Erik Magnus,Ohman,1,Clinical Medicine
Drew T,Shindell,1,Geosciences
David R,Smith,1,Physics
Heather M,Stapleton,1,Environment/Ecology
Tai-ping,Sun,1,Plant & Animal Science
Mike,West,1,Mathematics
Mark R,Wiesner,1,Environment/Ecology
Kenneth L,Reed,1,Pharmacology & Toxicology
David B,Warheit,1,Pharmacology & Toxicology
Philippe,Horvath,1,Microbiology
He,Tian,1,Chemistry
Yasmin,Alam-Faruque,1,Biology & Biochemistry
Simon C,Potter,1,Molecular Biology & Genetics
